prod_id,prod_key,prod_nm,prod_cost,prod_type,prod_start_dt,prod_end_dt
1,PRD00000001,Road Bike Pro 100,1200,Road Bikes,2025-01-01,2025-12-31
2,PRD00000002,Mountain Bike Elite 200,1500,Mountain Bikes,2025-01-01,2025-12-31
3,PRD00000003,Hybrid Commuter 300,900,Hybrid Bikes,2025-01-01,2025-12-31
4,PRD00000004,Road Bike Sport 101,1100,Road Bikes,2025-01-01,2025-12-31
5,PRD00000005,Mountain Bike Trail 201,1400,Mountain Bikes,2025-01-01,2025-12-31
6,PRD00000006,Hybrid City 301,850,Hybrid Bikes,2025-01-01,2025-12-31
7,PRD00000007,Road Bike Race 102,1350,Road Bikes,2025-01-01,2025-12-31
8,PRD00000008,Mountain Bike Enduro 202,1600,Mountain Bikes,2025-01-01,2025-12-31
9,PRD00000009,Hybrid Touring 302,950,Hybrid Bikes,2025-01-01,2025-12-31
10,PRD00000010,Road Bike Aero 103,1450,Road Bikes,2025-01-01,2025-12-31
11,PRD00000011,Helmet Pro Fit,85,Accessories,2025-01-01,2025-12-31
12,PRD00000012,Helmet Trail Guard,95,Accessories,2025-01-01,2025-12-31
13,PRD00000013,Helmet Aero Race,110,Accessories,2025-01-01,2025-12-31
14,PRD00000014,Cycling Gloves Sport,30,Clothing,2025-01-01,2025-12-31
15,PRD00000015,Cycling Jersey Pro,65,Clothing,2025-01-01,2025-12-31
16,PRD00000016,Cycling Shorts Elite,55,Clothing,2025-01-01,2025-12-31
17,PRD00000017,Cycling Jacket Wind,80,Clothing,2025-01-01,2025-12-31
18,PRD00000018,Cycling Bib Shorts,60,Clothing,2025-01-01,2025-12-31
19,PRD00000019,Cycling Cap Race,20,Clothing,2025-01-01,2025-12-31
20,PRD00000020,Cycling Socks Pack,15,Clothing,2025-01-01,2025-12-31
21,PRD00000021,Bike Lock Heavy Duty,45,Accessories,2025-01-01,2025-12-31
22,PRD00000022,Bike Lock Cable,25,Accessories,2025-01-01,2025-12-31
23,PRD00000023,Bike Pump Floor,40,Accessories,2025-01-01,2025-12-31
24,PRD00000024,Bike Pump Mini,18,Accessories,2025-01-01,2025-12-31
25,PRD00000025,Water Bottle 750ml,12,Accessories,2025-01-01,2025-12-31
26,PRD00000026,Water Bottle Insulated,18,Accessories,2025-01-01,2025-12-31
27,PRD00000027,Bottle Cage Alloy,14,Accessories,2025-01-01,2025-12-31
28,PRD00000028,Saddle Bag Small,22,Accessories,2025-01-01,2025-12-31
29,PRD00000029,Saddle Bag Large,35,Accessories,2025-01-01,2025-12-31
30,PRD00000030,Rear Pannier Bag,70,Accessories,2025-01-01,2025-12-31
31,PRD00000031,Road Bike Comp 104,1250,Road Bikes,2025-01-01,2025-12-31
32,PRD00000032,Mountain Bike XC 203,1350,Mountain Bikes,2025-01-01,2025-12-31
33,PRD00000033,Hybrid Sport 303,880,Hybrid Bikes,2025-01-01,2025-12-31
34,PRD00000034,Road Bike Ultra 105,1550,Road Bikes,2025-01-01,2025-12-31
35,PRD00000035,Mountain Bike Downhill 204,1700,Mountain Bikes,2025-01-01,2025-12-31
36,PRD00000036,Hybrid Fitness 304,920,Hybrid Bikes,2025-01-01,2025-12-31
37,PRD00000037,Road Bike Gran 106,1300,Road Bikes,2025-01-01,2025-12-31
38,PRD00000038,Mountain Bike All 205,1450,Mountain Bikes,2025-01-01,2025-12-31
39,PRD00000039,Hybrid Leisure 305,860,Hybrid Bikes,2025-01-01,2025-12-31
40,PRD00000040,Road Bike Club 107,1150,Road Bikes,2025-01-01,2025-12-31
41,PRD00000041,Bike Computer GPS,120,Electronics,2025-01-01,2025-12-31
42,PRD00000042,Bike Computer Basic,55,Electronics,2025-01-01,2025-12-31
43,PRD00000043,Front Light USB,35,Electronics,2025-01-01,2025-12-31
44,PRD00000044,Rear Light USB,25,Electronics,2025-01-01,2025-12-31
45,PRD00000045,Light Set Pro,55,Electronics,2025-01-01,2025-12-31
46,PRD00000046,Heart Rate Monitor,75,Electronics,2025-01-01,2025-12-31
47,PRD00000047,Cadence Sensor,40,Electronics,2025-01-01,2025-12-31
48,PRD00000048,Speed Sensor,38,Electronics,2025-01-01,2025-12-31
49,PRD00000049,Power Meter Pedal,280,Electronics,2025-01-01,2025-12-31
50,PRD00000050,Smart Trainer Basic,450,Electronics,2025-01-01,2025-12-31
51,PRD00000051,Road Tyre 700x25c,38,Components,2025-01-01,2025-12-31
52,PRD00000052,Road Tyre 700x28c,40,Components,2025-01-01,2025-12-31
53,PRD00000053,MTB Tyre 29x2.2,52,Components,2025-01-01,2025-12-31
54,PRD00000054,MTB Tyre 27.5x2.4,50,Components,2025-01-01,2025-12-31
55,PRD00000055,Inner Tube Road,8,Components,2025-01-01,2025-12-31
56,PRD00000056,Inner Tube MTB,10,Components,2025-01-01,2025-12-31
57,PRD00000057,Road Saddle Pro,90,Components,2025-01-01,2025-12-31
58,PRD00000058,MTB Saddle Trail,80,Components,2025-01-01,2025-12-31
59,PRD00000059,Road Handlebar Drop,65,Components,2025-01-01,2025-12-31
60,PRD00000060,MTB Handlebar Flat,55,Components,2025-01-01,2025-12-31
61,PRD00000061,Chain Road 11spd,28,Components,2025-01-01,2025-12-31
62,PRD00000062,Chain MTB 12spd,32,Components,2025-01-01,2025-12-31
63,PRD00000063,Brake Pads Road,18,Components,2025-01-01,2025-12-31
64,PRD00000064,Brake Pads MTB,20,Components,2025-01-01,2025-12-31
65,PRD00000065,Disc Rotor 160mm,25,Components,2025-01-01,2025-12-31
66,PRD00000066,Disc Rotor 180mm,30,Components,2025-01-01,2025-12-31
67,PRD00000067,Pedals Road Clip,70,Components,2025-01-01,2025-12-31
68,PRD00000068,Pedals MTB Flat,45,Components,2025-01-01,2025-12-31
69,PRD00000069,Cycling Shoes Road,130,Clothing,2025-01-01,2025-12-31
70,PRD00000070,Cycling Shoes MTB,120,Clothing,2025-01-01,2025-12-31
71,PRD00000071,Road Bike Endurance 108,1280,Road Bikes,2025-01-01,2025-12-31
72,PRD00000072,Mountain Bike Hardtail 206,1250,Mountain Bikes,2025-01-01,2025-12-31
73,PRD00000073,Hybrid Cargo 306,1050,Hybrid Bikes,2025-01-01,2025-12-31
74,PRD00000074,Road Bike Sprint 109,1380,Road Bikes,2025-01-01,2025-12-31
75,PRD00000075,Mountain Bike FS 207,1900,Mountain Bikes,2025-01-01,2025-12-31
76,PRD00000076,Hybrid Step Through 307,840,Hybrid Bikes,2025-01-01,2025-12-31
77,PRD00000077,Road Bike Century 110,1320,Road Bikes,2025-01-01,2025-12-31
78,PRD00000078,Mountain Bike Jump 208,1550,Mountain Bikes,2025-01-01,2025-12-31
79,PRD00000079,Hybrid Adventure 308,970,Hybrid Bikes,2025-01-01,2025-12-31
80,PRD00000080,Road Bike Sportive 111,1180,Road Bikes,2025-01-01,2025-12-31
81,PRD00000081,Repair Kit Essential,22,Accessories,2025-01-01,2025-12-31
82,PRD00000082,Multi Tool 15 in 1,35,Accessories,2025-01-01,2025-12-31
83,PRD00000083,Chain Lube Dry,12,Accessories,2025-01-01,2025-12-31
84,PRD00000084,Chain Lube Wet,12,Accessories,2025-01-01,2025-12-31
85,PRD00000085,Bike Stand Workstand,90,Accessories,2025-01-01,2025-12-31
86,PRD00000086,Bike Stand Storage,55,Accessories,2025-01-01,2025-12-31
87,PRD00000087,Mudguard Set Road,30,Accessories,2025-01-01,2025-12-31
88,PRD00000088,Mudguard Set MTB,35,Accessories,2025-01-01,2025-12-31
89,PRD00000089,Kickstand Alloy,20,Accessories,2025-01-01,2025-12-31
90,PRD00000090,Bell Classic,8,Accessories,2025-01-01,2025-12-31
91,PRD00000091,Smart Trainer Advanced,750,Electronics,2025-01-01,2025-12-31
92,PRD00000092,Turbo Trainer Basic,200,Electronics,2025-01-01,2025-12-31
93,PRD00000093,Cycling Glasses Clear,45,Clothing,2025-01-01,2025-12-31
94,PRD00000094,Cycling Glasses Tinted,50,Clothing,2025-01-01,2025-12-31
95,PRD00000095,Arm Warmers,25,Clothing,2025-01-01,2025-12-31
96,PRD00000096,Leg Warmers,30,Clothing,2025-01-01,2025-12-31
97,PRD00000097,Gilet Wind Vest,70,Clothing,2025-01-01,2025-12-31
98,PRD00000098,Winter Gloves,40,Clothing,2025-01-01,2025-12-31
99,PRD00000099,Base Layer Short,35,Clothing,2025-01-01,2025-12-31
100,PRD00000100,Base Layer Long,40,Clothing,2025-01-01,2025-12-31
