sales_ord_num,sales_prd_key,sales_client_id,sales_order_dt,sales_ship_dt,sales_due_dt,sales_sales,sales_quantity,sales_price
SO00000001,PRD00000001,1001,20250105,20250107,20250112,1200,1,1200
SO00000002,PRD00000015,1002,20250105,20250108,20250113,65,2,130
SO00000003,PRD00000032,1003,20250106,20250109,20250114,1350,1,1350
SO00000004,PRD00000041,1004,20250106,20250108,20250113,120,1,120
SO00000005,PRD00000051,1005,20250107,20250110,20250115,38,4,152
SO00000006,PRD00000003,1006,20250107,20250110,20250115,900,1,900
SO00000007,PRD00000025,1007,20250108,20250111,20250116,12,3,36
SO00000008,PRD00000069,1008,20250108,20250111,20250116,130,1,130
SO00000009,PRD00000005,1009,20250109,20250112,20250117,1400,1,1400
SO00000010,PRD00000021,1010,20250109,20250112,20250117,45,1,45
SO00000011,PRD00000011,1011,20250110,20250113,20250118,85,2,170
SO00000012,PRD00000062,1012,20250110,20250113,20250118,32,2,64
SO00000013,PRD00000007,1013,20250111,20250114,20250119,1350,1,1350
SO00000014,PRD00000043,1014,20250111,20250114,20250119,35,1,35
SO00000015,PRD00000016,1015,20250112,20250115,20250120,55,2,110
SO00000016,PRD00000035,1016,20250112,20250115,20250120,1700,1,1700
SO00000017,PRD00000050,1017,20250113,20250116,20250121,450,1,450
SO00000018,PRD00000083,1018,20250113,20250116,20250121,12,3,36
SO00000019,PRD00000009,1019,20250114,20250117,20250122,950,1,950
SO00000020,PRD00000028,1020,20250114,20250117,20250122,22,2,44
SO00000021,PRD00000002,1021,20250115,20250118,20250123,1500,1,1500
SO00000022,PRD00000044,1022,20250115,20250118,20250123,25,2,50
SO00000023,PRD00000057,1023,20250116,20250119,20250124,90,1,90
SO00000024,PRD00000013,1024,20250116,20250119,20250124,110,1,110
SO00000025,PRD00000070,1025,20250117,20250120,20250125,120,1,120
SO00000026,PRD00000033,1026,20250117,20250120,20250125,880,1,880
SO00000027,PRD00000045,1027,20250118,20250121,20250126,55,1,55
SO00000028,PRD00000082,1028,20250118,20250121,20250126,35,1,35
SO00000029,PRD00000004,1029,20250119,20250122,20250127,1100,1,1100
SO00000030,PRD00000019,1030,20250119,20250122,20250127,20,3,60
SO00000031,PRD00000075,1031,20250120,20250123,20250128,1900,1,1900
SO00000032,PRD00000026,1032,20250120,20250123,20250128,18,2,36
SO00000033,PRD00000059,1033,20250121,20250124,20250129,65,1,65
SO00000034,PRD00000047,1034,20250121,20250124,20250129,40,1,40
SO00000035,PRD00000006,1035,20250122,20250125,20250130,850,1,850
SO00000036,PRD00000014,1036,20250122,20250125,20250130,30,2,60
SO00000037,PRD00000065,1037,20250123,20250126,20250131,25,2,50
SO00000038,PRD00000091,1038,20250123,20250126,20250131,750,1,750
SO00000039,PRD00000010,1039,20250124,20250127,20250201,1450,1,1450
SO00000040,PRD00000020,1040,20250124,20250127,20250201,15,4,60
SO00000041,PRD00000038,1041,20250125,20250128,20250202,1450,1,1450
SO00000042,PRD00000055,1042,20250125,20250128,20250202,8,5,40
SO00000043,PRD00000012,1043,20250126,20250129,20250203,95,1,95
SO00000044,PRD00000048,1044,20250126,20250129,20250203,38,1,38
SO00000045,PRD00000030,1045,20250127,20250130,20250204,70,1,70
SO00000046,PRD00000071,1046,20250127,20250130,20250204,1280,1,1280
SO00000047,PRD00000023,1047,20250128,20250131,20250205,40,1,40
SO00000048,PRD00000093,1048,20250128,20250131,20250205,45,2,90
SO00000049,PRD00000008,1049,20250129,20250201,20250206,1600,1,1600
SO00000050,PRD00000084,1050,20250129,20250201,20250206,12,3,36
SO00000051,PRD00000036,1051,20250130,20250202,20250207,920,1,920
SO00000052,PRD00000061,1052,20250130,20250202,20250207,28,2,56
SO00000053,PRD00000017,1053,20250201,20250203,20250208,80,1,80
SO00000054,PRD00000049,1054,20250201,20250203,20250208,280,1,280
SO00000055,PRD00000072,1055,20250202,20250204,20250209,1250,1,1250
SO00000056,PRD00000027,1056,20250202,20250204,20250209,14,3,42
SO00000057,PRD00000053,1057,20250203,20250205,20250210,52,2,104
SO00000058,PRD00000095,1058,20250203,20250205,20250210,25,2,50
SO00000059,PRD00000040,1059,20250204,20250206,20250211,1150,1,1150
SO00000060,PRD00000022,1060,20250204,20250206,20250211,25,1,25
SO00000061,PRD00000079,1061,20250205,20250207,20250212,970,1,970
SO00000062,PRD00000046,1062,20250205,20250207,20250212,75,1,75
SO00000063,PRD00000063,1063,20250206,20250208,20250213,18,4,72
SO00000064,PRD00000097,1064,20250206,20250208,20250213,70,1,70
SO00000065,PRD00000001,1065,20250207,20250209,20250214,1200,1,1200
SO00000066,PRD00000029,1066,20250207,20250209,20250214,35,1,35
SO00000067,PRD00000034,1067,20250208,20250210,20250215,1550,1,1550
SO00000068,PRD00000066,1068,20250208,20250210,20250215,30,2,60
SO00000069,PRD00000018,1069,20250209,20250211,20250216,60,2,120
SO00000070,PRD00000042,1070,20250209,20250211,20250216,55,1,55
SO00000071,PRD00000076,1071,20250210,20250212,20250217,840,1,840
SO00000072,PRD00000054,1072,20250210,20250212,20250217,50,2,100
SO00000073,PRD00000039,1073,20250211,20250213,20250218,860,1,860
SO00000074,PRD00000085,1074,20250211,20250213,20250218,90,1,90
SO00000075,PRD00000006,1075,20250212,20250214,20250219,850,1,850
SO00000076,PRD00000096,1076,20250212,20250214,20250219,30,2,60
SO00000077,PRD00000074,1077,20250213,20250215,20250220,1380,1,1380
SO00000078,PRD00000024,1078,20250213,20250215,20250220,18,2,36
SO00000079,PRD00000058,1079,20250214,20250216,20250221,80,1,80
SO00000080,PRD00000092,1080,20250214,20250216,20250221,200,1,200
SO00000081,PRD00000037,1081,20250215,20250217,20250222,1300,1,1300
SO00000082,PRD00000064,1082,20250215,20250217,20250222,20,3,60
SO00000083,PRD00000099,1083,20250216,20250218,20250223,35,2,70
SO00000084,PRD00000086,1084,20250216,20250218,20250223,55,1,55
SO00000085,PRD00000073,1085,20250217,20250219,20250224,1050,1,1050
SO00000086,PRD00000056,1086,20250217,20250219,20250224,10,4,40
SO00000087,PRD00000098,1087,20250218,20250220,20250225,40,1,40
SO00000088,PRD00000031,1088,20250218,20250220,20250225,1250,1,1250
SO00000089,PRD00000052,1089,20250219,20250221,20250226,40,2,80
SO00000090,PRD00000100,1090,20250219,20250221,20250226,40,2,80
SO00000091,PRD00000080,1091,20250220,20250222,20250227,1180,1,1180
SO00000092,PRD00000087,1092,20250220,20250222,20250227,30,1,30
SO00000093,PRD00000077,1093,20250221,20250223,20250228,1320,1,1320
SO00000094,PRD00000067,1094,20250221,20250223,20250228,70,1,70
SO00000095,PRD00000094,1095,20250222,20250224,20250301,50,2,100
