clientid,client_country,client_birth_dt,client_gender,client_account_status,client_segment
NAS-1001,Ireland,1962-03-30,male,Suspended,Enterprise
NAS-1002,Ireland,1972-07-08,Female,Suspended,Retail
NAS-1003,USA,1967-10-19,male,Active,Corporate
NAS-1004,Ireland,1968-05-28,Female,Active,Enterprise
NAS-1005,Australia,1962-05-19,male,Active,Enterprise
NAS-1006,USA,1997-08-20,female,Active,SMB
NAS-1007,UK,1960-07-31,male,Closed,Retail
NAS-1008,Germany,1990-07-11,female,Active,Retail
NAS-1009,UK,1969-03-03,Male,Active,Corporate
NAS-1010,UK,1990-11-09,Female,Active,Enterprise
NAS-1011,France,1971-03-14,Male,Active,Retail
NAS-1012,UK,1992-06-11,female,Active,Enterprise
NAS-1013,Ireland,1964-02-10,male,Suspended,Enterprise
NAS-1014,Ireland,1980-11-19,F,Closed,Retail
NAS-1015,UK,2000-09-04,M,Suspended,Wholesale
NAS-1016,UK,1991-11-15,Female,Active,Enterprise
NAS-1017,Ireland,1975-05-09,male,Active,Enterprise
NAS-1018,France,1994-01-15,Female,Active,Enterprise
NAS-1019,UK,1965-01-06,male,Active,Retail
NAS-1020,Germany,1984-01-08,F,Active,Enterprise
NAS-1021,UK,1979-01-28,male,Suspended,SMB
NAS-1022,France,1972-10-25,F,Active,Retail
NAS-1023,USA,1983-07-28,Male,Suspended,Corporate
NAS-1024,Germany,1992-06-22,female,Active,Retail
NAS-1025,France,1968-02-26,male,Closed,Retail
NAS-1026,Ireland,1974-05-09,Female,Closed,Corporate
NAS-1027,Ireland,1994-07-09,male,Active,SMB
NAS-1028,UK,1961-01-11,female,Suspended,Retail
NAS-1029,USA,1983-12-09,male,Closed,Wholesale
NAS-1030,UK,1999-01-02,Female,Active,SMB
NAS-1031,UK,2004-11-28,Male,Closed,Retail
NAS-1032,Ireland,1986-10-10,female,Closed,Enterprise
NAS-1033,UK,1974-06-29,Male,Active,Retail
NAS-1034,UK,2003-11-01,female,Active,Retail
NAS-1035,UK,1981-06-25,M,Active,Enterprise
NAS-1036,Ireland,1967-09-07,female,Suspended,SMB
NAS-1037,USA,1971-04-13,Male,Active,SMB
NAS-1038,Ireland,1983-10-12,female,Active,Corporate
NAS-1039,USA,1978-01-17,Male,Suspended,Enterprise
NAS-1040,UK,1999-04-21,F,Active,SMB
NAS-1041,Ireland,1980-02-27,Male,Active,Wholesale
NAS-1042,Australia,1980-08-23,Female,Active,Enterprise
NAS-1043,Ireland,1965-04-13,Male,Active,Retail
NAS-1044,UK,1966-05-10,Female,Active,Enterprise
NAS-1045,France,1979-03-22,M,Active,Retail
NAS-1046,Australia,2002-05-28,female,Active,SMB
NAS-1047,Ireland,1968-06-17,M,Active,Corporate
NAS-1048,Germany,1996-11-17,F,Active,Retail
NAS-1049,Ireland,1965-06-09,male,Active,Wholesale
NAS-1050,Ireland,1977-03-10,Female,Active,SMB
NAS-1051,Germany,1976-06-17,Male,Active,SMB
NAS-1052,Ireland,1999-10-03,Female,Closed,Retail
NAS-1053,USA,1961-04-28,Male,Active,Enterprise
NAS-1054,Germany,2003-07-27,Female,Active,Enterprise
NAS-1055,Ireland,1974-10-08,M,Active,Retail
NAS-1056,UK,2000-10-26,F,Active,Corporate
NAS-1057,USA,2003-08-30,male,Active,Enterprise
NAS-1058,Ireland,1965-03-31,F,Active,Retail
NAS-1059,UK,1965-02-16,male,Active,SMB
NAS-1060,USA,1974-02-14,female,Active,Retail
NAS-1061,Ireland,1966-02-04,Male,Suspended,Enterprise
NAS-1062,Ireland,1982-02-01,F,Active,Retail
NAS-1063,Ireland,1997-08-11,male,Suspended,Wholesale
NAS-1064,Ireland,1988-03-09,F,Active,Enterprise
NAS-1065,Ireland,1986-11-30,M,Active,Wholesale
NAS-1066,Ireland,2001-02-11,Female,Active,Retail
NAS-1067,USA,1979-02-14,Male,Active,Enterprise
NAS-1068,UK,1966-03-04,Female,Active,Wholesale
NAS-1069,Ireland,1999-04-24,M,Closed,Enterprise
NAS-1070,USA,1960-09-13,female,Suspended,Enterprise
NAS-1071,Ireland,1972-01-18,male,Active,Retail
NAS-1072,USA,1973-12-11,Female,Active,Enterprise
NAS-1073,Ireland,1990-10-05,male,Active,Enterprise
NAS-1074,France,1982-07-12,female,Closed,Retail
NAS-1075,Germany,1984-10-27,Male,Active,Retail
NAS-1076,Ireland,1983-07-02,F,Active,SMB
NAS-1077,Germany,1960-11-12,male,Active,Retail
NAS-1078,Ireland,1963-03-26,female,Closed,Wholesale
NAS-1079,USA,1973-04-14,male,Active,Retail
NAS-1080,UK,1992-09-17,Female,Closed,Retail
NAS-1081,Ireland,1982-05-21,M,Suspended,Retail
NAS-1082,USA,1996-06-16,F,Active,Retail
NAS-1083,Ireland,1975-11-19,Male,Active,Retail
NAS-1084,UK,1996-12-08,Female,Closed,Enterprise
NAS-1085,Ireland,1969-09-12,M,Active,Retail
NAS-1086,Ireland,1977-11-26,F,Closed,SMB
NAS-1087,UK,1980-06-01,M,Active,Retail
NAS-1088,Ireland,1995-09-30,female,Active,Enterprise
NAS-1089,UK,1991-07-03,Male,Suspended,Corporate
NAS-1090,USA,1989-09-16,female,Active,Retail
NAS-1091,Ireland,1983-10-25,M,Active,Retail
NAS-1092,Germany,1991-01-05,female,Suspended,Wholesale
NAS-1093,Australia,2005-11-18,M,Active,Corporate
NAS-1094,Ireland,1982-11-07,female,Active,Corporate
NAS-1095,USA,1977-09-04,Male,Active,Corporate
NAS-1096,UK,1988-02-29,Female,Suspended,Retail
NAS-1097,UK,2005-06-30,male,Active,Corporate
NAS-1098,Germany,1986-07-11,F,Active,Retail
NAS-1099,Germany,1994-01-05,Male,Suspended,Retail
NAS-1100,Australia,1986-12-31,female,Active,Retail
