Invoice_id,Invoice_ord_num,Invoice_status,Invoice_issue_dt
INV00000001,SO00000001,Paid,2025-01-06
INV00000002,SO00000002,Paid,2025-01-07
INV00000003,SO00000003,Paid,2025-01-09
INV00000004,SO00000004,Paid,2025-01-07
INV00000005,SO00000005,Paid,2025-01-08
INV00000006,SO00000006,Paid,2025-01-10
INV00000007,SO00000007,Paid,2025-01-11
INV00000008,SO00000008,Paid,2025-01-09
INV00000009,SO00000009,Paid,2025-01-11
INV00000010,SO00000010,Paid,2025-01-12
INV00000011,SO00000011,Paid,2025-01-12
INV00000012,SO00000012,Cancelled,2025-01-11
INV00000013,SO00000013,Paid,2025-01-13
INV00000014,SO00000014,Overdue,2025-01-14
INV00000015,SO00000015,Cancelled,2025-01-13
INV00000016,SO00000016,Paid,2025-01-15
INV00000017,SO00000017,Paid,2025-01-15
INV00000018,SO00000018,Paid,2025-01-15
INV00000019,SO00000019,Cancelled,2025-01-16
INV00000020,SO00000020,Unpaid,2025-01-16
INV00000021,SO00000021,Overdue,2025-01-18
INV00000022,SO00000022,Cancelled,2025-01-18
INV00000023,SO00000023,Paid,2025-01-19
INV00000024,SO00000024,Paid,2025-01-18
INV00000025,SO00000025,Paid,2025-01-19
INV00000026,SO00000026,Paid,2025-01-19
INV00000027,SO00000027,Paid,2025-01-20
INV00000028,SO00000028,Overdue,2025-01-21
INV00000029,SO00000029,Overdue,2025-01-21
INV00000030,SO00000030,Cancelled,2025-01-20
INV00000031,SO00000031,Paid,2025-01-22
INV00000032,SO00000032,Unpaid,2025-01-23
INV00000033,SO00000033,Paid,2025-01-22
INV00000034,SO00000034,Unpaid,2025-01-24
INV00000035,SO00000035,Paid,2025-01-25
INV00000036,SO00000036,Overdue,2025-01-23
INV00000037,SO00000037,Paid,2025-01-25
INV00000038,SO00000038,Paid,2025-01-25
INV00000039,SO00000039,Paid,2025-01-25
INV00000040,SO00000040,Paid,2025-01-26
INV00000041,SO00000041,Paid,2025-01-26
INV00000042,SO00000042,Paid,2025-01-27
INV00000043,SO00000043,Paid,2025-01-28
INV00000044,SO00000044,Paid,2025-01-28
INV00000045,SO00000045,Paid,2025-01-28
INV00000046,SO00000046,Overdue,2025-01-28
INV00000047,SO00000047,Paid,2025-01-31
INV00000048,SO00000048,Paid,2025-01-30
INV00000049,SO00000049,Paid,2025-02-01
INV00000050,SO00000050,Paid,2025-02-01
INV00000051,SO00000051,Paid,2025-01-31
INV00000052,SO00000052,Cancelled,2025-01-31
INV00000053,SO00000053,Unpaid,2025-02-02
INV00000054,SO00000054,Paid,2025-02-02
INV00000055,SO00000055,Paid,2025-02-03
INV00000056,SO00000056,Paid,2025-02-05
INV00000057,SO00000057,Paid,2025-02-06
INV00000058,SO00000058,Overdue,2025-02-05
INV00000059,SO00000059,Cancelled,2025-02-06
INV00000060,SO00000060,Paid,2025-02-06
INV00000061,SO00000061,Unpaid,2025-02-08
INV00000062,SO00000062,Overdue,2025-02-08
INV00000063,SO00000063,Cancelled,2025-02-07
INV00000064,SO00000064,Paid,2025-02-07
INV00000065,SO00000065,Unpaid,2025-02-08
INV00000066,SO00000066,Paid,2025-02-08
INV00000067,SO00000067,Overdue,2025-02-11
INV00000068,SO00000068,Paid,2025-02-10
INV00000069,SO00000069,Paid,2025-02-12
INV00000070,SO00000070,Unpaid,2025-02-10
INV00000071,SO00000071,Cancelled,2025-02-13
INV00000072,SO00000072,Paid,2025-02-13
INV00000073,SO00000073,Overdue,2025-02-12
INV00000074,SO00000074,Cancelled,2025-02-13
INV00000075,SO00000075,Unpaid,2025-02-15
INV00000076,SO00000076,Cancelled,2025-02-13
INV00000077,SO00000077,Cancelled,2025-02-16
INV00000078,SO00000078,Paid,2025-02-14
INV00000079,SO00000079,Paid,2025-02-17
INV00000080,SO00000080,Paid,2025-02-17
INV00000081,SO00000081,Unpaid,2025-02-16
INV00000082,SO00000082,Paid,2025-02-18
INV00000083,SO00000083,Cancelled,2025-02-17
INV00000084,SO00000084,Cancelled,2025-02-18
INV00000085,SO00000085,Paid,2025-02-19
INV00000086,SO00000086,Paid,2025-02-19
INV00000087,SO00000087,Cancelled,2025-02-21
INV00000088,SO00000088,Overdue,2025-02-20
INV00000089,SO00000089,Paid,2025-02-20
INV00000090,SO00000090,Overdue,2025-02-20
INV00000091,SO00000091,Overdue,2025-02-23
INV00000092,SO00000092,Unpaid,2025-02-22
INV00000093,SO00000093,Cancelled,2025-02-24
INV00000094,SO00000094,Paid,2025-02-23
INV00000095,SO00000095,Cancelled,2025-02-24
INV00000096,SO00000096,Unpaid,2025-02-25
INV00000097,SO00000097,Paid,2025-02-25
INV00000098,SO00000098,Cancelled,2025-02-24
INV00000099,SO00000099,Paid,2025-02-25
INV00000100,SO00000100,Paid,2025-02-26
